request_id,success,status_code,latency_ms
1,True,200,2162.997599996743
2,True,200,586.4385000022594
3,True,200,549.3178999895463
4,True,200,557.7133999904618
5,True,200,534.0305999998236
6,True,200,953.9401000074577
7,True,200,577.989700002945
8,True,200,537.7162000077078
9,True,200,510.0945000012871
10,True,200,522.280299992417
11,True,200,525.6147000036435
12,True,200,592.7789999986999
13,True,200,544.759399999748
14,True,200,541.4766000030795
15,True,200,510.2014000003692
16,True,200,514.19519999763
17,True,200,516.288099999656
18,True,200,496.9700999936322
19,True,200,531.6195999912452
20,True,200,535.1748999964911
21,True,200,509.25429999188054
22,True,200,530.6462000007741
23,True,200,542.7057000051718
24,True,200,519.5085000013933
25,True,200,528.2412000087788
26,True,200,512.6424000045517
27,True,200,519.2679000028875
28,True,200,527.461100005894
29,True,200,492.4256999947829
30,True,200,559.5723000005819
31,True,200,575.5079999944428
32,True,200,516.8575999996392
33,True,200,525.2198999951361
34,True,200,531.2400999973761
35,True,200,516.3810000085505
36,True,200,509.79219999862835
37,True,200,528.2299999962561
38,True,200,523.1992000044556
39,True,200,486.38289999507833
40,True,200,524.1575999971246
41,True,200,525.8625999995274
42,True,200,524.6475000021746
43,True,200,565.5944000027375
44,True,200,514.5151000033366
45,True,200,528.1756000040332
46,True,200,523.8554999959888
47,True,200,520.9041000052821
48,True,200,510.80540000111796
49,True,200,555.9271000092849
50,True,200,611.2914999976056
51,True,200,528.9929999999003
52,True,200,540.5836999998428
53,True,200,515.3655000030994
54,True,200,532.611700007692
55,True,200,498.3003999950597
56,True,200,493.02460000035353
57,True,200,532.6560999965295
58,True,200,514.3719000043347
59,True,200,514.7400999994716
60,True,200,516.6471999982605
61,True,200,518.7835000106134
62,True,200,488.9072999940254
63,True,200,517.595600002096
64,True,200,525.7717000058619
65,True,200,479.727300000377
66,True,200,505.3293999953894
67,True,200,495.17300000297837
68,True,200,501.67620000138413
69,True,200,494.9828999961028
70,True,200,478.8823999988381
71,True,200,495.9649999946123
72,True,200,517.3019000067143
73,True,200,500.47949999861885
74,True,200,488.7834999972256
75,True,200,503.73450000188313
76,True,200,487.9131000052439
77,True,200,508.2165000058012
78,True,200,510.0627999927383
79,True,200,481.57469999569
80,True,200,492.91879999509547
81,True,200,505.32310000562575
82,True,200,492.65300000843126
83,True,200,505.5048999929568
84,True,200,483.5968999977922
85,True,200,480.22270000365097
86,True,200,875.9865000029095
87,True,200,487.8964000090491
88,True,200,491.0657000000356
89,True,200,480.30159999325406
90,True,200,483.36910000944044
91,True,200,488.26529999496415
92,True,200,493.4147000021767
93,True,200,486.74629999732133
94,True,200,505.58129999262746
95,True,200,497.8836000082083
96,True,200,494.79820000124164
97,True,200,494.24650000582915
98,True,200,500.8681000035722
99,True,200,481.2589999928605
100,True,200,505.16469999274705
101,True,200,494.02070000360254
102,True,200,505.3353000112111
103,True,200,493.6100000049919
104,True,200,490.01580000913236
105,True,200,508.44650001090486
106,True,200,480.0355000043055
107,True,200,478.2383999990998
108,True,200,491.94599999464117
109,True,200,488.7153000017861
110,True,200,485.7738999999128
111,True,200,484.21260000031907
112,True,200,511.6476999974111
113,True,200,2109.091400008765
114,True,200,2174.270500006969
115,True,200,2201.6652999882353
116,True,200,2084.3404999905033
117,True,200,2169.511000000057
118,True,200,2109.4184999965364
119,True,200,2230.4714000056265
